epoch,batch,all,hit
20,179200,0.144650,0.9648
20,204800,0.185448,0.9492
21,0,0.143049,0.9336
21,25600,0.075065,0.9688
21,51200,0.107511,0.9648
21,76800,0.141233,0.9375
21,102400,0.167205,0.9531
21,128000,0.107083,0.9453
21,153600,0.086394,0.9609
21,179200,0.093976,0.9609
21,204800,0.152088,0.9492
22,0,0.139115,0.9414
22,25600,0.094689,0.9570
22,51200,0.129800,0.9492
22,76800,0.153510,0.9219
22,102400,0.112630,0.9492
22,128000,0.132469,0.9375
22,153600,0.097849,0.9609
22,179200,0.110246,0.9531
22,204800,0.155175,0.9453
23,0,0.133334,0.9414
23,25600,0.067130,0.9727
23,51200,0.117261,0.9570
23,76800,0.151133,0.9492
23,102400,0.157685,0.9492
23,128000,0.105488,0.9531
23,153600,0.097309,0.9492
23,179200,0.086736,0.9609
23,204800,0.184656,0.9414
24,0,0.146312,0.9375
24,25600,0.104630,0.9688
24,51200,0.109528,0.9609
24,76800,0.134964,0.9336
24,102400,0.119746,0.9609
24,128000,0.123191,0.9492
24,153600,0.100621,0.9609
24,179200,0.077073,0.9648
24,204800,0.130521,0.9570
25,0,0.142455,0.9414
25,25600,0.089484,0.9648
25,51200,0.110827,0.9609
25,76800,0.159416,0.9414
25,102400,0.128431,0.9609
25,128000,0.121281,0.9453
25,153600,0.103335,0.9531
25,179200,0.103331,0.9570
25,204800,0.149552,0.9609
26,0,0.122139,0.9492
26,25600,0.147678,0.9727
26,51200,0.109472,0.9570
26,76800,0.127997,0.9492
26,102400,0.127757,0.9531
26,128000,0.109041,0.9492
26,153600,0.100612,0.9648
26,179200,0.090793,0.9648
26,204800,0.209584,0.9570
27,0,0.139147,0.9375
27,25600,0.081199,0.9688
27,51200,0.112037,0.9609
27,76800,0.145472,0.9414
27,102400,0.125184,0.9570
27,128000,0.132812,0.9375
27,153600,0.085605,0.9648
27,179200,0.089328,0.9688
27,204800,0.187244,0.9453
28,0,0.129700,0.9414
28,25600,0.089274,0.9688
28,51200,0.098868,0.9727
28,76800,0.142989,0.9414
28,102400,0.116087,0.9609
28,128000,0.099274,0.9531
28,153600,0.101338,0.9492
28,179200,0.103321,0.9648
28,204800,0.174294,0.9453
29,0,0.144632,0.9453
29,25600,0.136795,0.9609
29,51200,0.116885,0.9609
29,76800,0.112147,0.9492
29,102400,0.133585,0.9453
29,128000,0.109524,0.9492
29,153600,0.094268,0.9570
29,179200,0.086631,0.9570
29,204800,0.159924,0.9492
30,0,0.124537,0.9336
30,25600,0.075077,0.9766
30,51200,0.112320,0.9531
30,76800,0.136914,0.9492
30,102400,0.132807,0.9570
30,128000,0.117934,0.9453
30,153600,0.082909,0.9648
30,179200,0.094135,0.9609
30,204800,0.169553,0.9492
31,0,0.131109,0.9336
31,25600,0.092357,0.9727
31,51200,0.118516,0.9492
31,76800,0.128889,0.9453
31,102400,0.124972,0.9531
31,128000,0.101434,0.9570
31,153600,0.089325,0.9727
31,179200,0.084964,0.9570
31,204800,0.189979,0.9375
32,0,0.127247,0.9453
32,25600,0.066070,0.9766
32,51200,0.104152,0.9648
32,76800,0.132149,0.9492
32,102400,0.119109,0.9492
32,128000,0.102845,0.9570
32,153600,0.097719,0.9570
32,179200,0.096589,0.9570
32,204800,0.131715,0.9609
33,0,0.121324,0.9453
33,25600,0.096025,0.9531
33,51200,0.102286,0.9492
33,76800,0.153818,0.9453
33,102400,0.128342,0.9648
33,128000,0.121139,0.9414
33,153600,0.087953,0.9688
33,179200,0.091075,0.9570
33,204800,0.164557,0.9570
34,0,0.148003,0.9492
34,25600,0.068829,0.9805
34,51200,0.129567,0.9492
34,76800,0.148245,0.9414
34,102400,0.102647,0.9570
34,128000,0.112617,0.9336
34,153600,0.085403,0.9570
34,179200,0.079078,0.9570
34,204800,0.153408,0.9492
35,0,0.126429,0.9453
35,25600,0.084194,0.9688
35,51200,0.112788,0.9648
35,76800,0.133323,0.9453
35,102400,0.129136,0.9570
35,128000,0.118532,0.9375
35,153600,0.118351,0.9492
35,179200,0.092058,0.9531
35,204800,0.167646,0.9453
36,0,0.136214,0.9453
36,25600,0.085579,0.9727
36,51200,0.107016,0.9531
36,76800,0.146911,0.9375
36,102400,0.140078,0.9570
36,128000,0.122904,0.9453
36,153600,0.123606,0.9531
36,179200,0.085237,0.9609
36,204800,0.146997,0.9492
37,0,0.121956,0.9453
37,25600,0.075167,0.9688
37,51200,0.100928,0.9453
37,76800,0.148908,0.9375
37,102400,0.116055,0.9531
37,128000,0.127387,0.9414
37,153600,0.086733,0.9688
37,179200,0.117382,0.9453
37,204800,0.147601,0.9492
38,0,0.122236,0.9414
38,25600,0.065379,0.9766
38,51200,0.112709,0.9531
38,76800,0.116773,0.9453
38,102400,0.109761,0.9570
38,128000,0.103827,0.9453
38,153600,0.105536,0.9648
38,179200,0.086358,0.9609
38,204800,0.134696,0.9570
39,0,0.130127,0.9414
39,25600,0.101048,0.9688
39,51200,0.123315,0.9531
39,76800,0.134597,0.9492
39,102400,0.115338,0.9570
39,128000,0.109115,0.9492
39,153600,0.099199,0.9609
39,179200,0.077220,0.9648
39,204800,0.165964,0.9609
40,0,0.124048,0.9336
40,25600,0.063691,0.9727
40,51200,0.092962,0.9531
40,76800,0.149769,0.9375
