epoch,batch,all,hit
5,102400,0.205656,0.9219
5,108800,0.218346,0.9062
5,115200,0.299679,0.8906
5,121600,0.301566,0.9219
5,128000,0.270043,0.8906
5,134400,0.305662,0.8594
5,140800,0.262496,0.9219
5,147200,0.185918,0.8750
5,153600,0.192450,0.9062
5,160000,0.297378,0.8438
5,166400,0.493660,0.8125
5,172800,0.205538,0.9062
5,179200,0.212843,0.9062
5,185600,0.212890,0.9219
5,192000,0.161579,0.9688
5,198400,0.178292,0.9375
5,204800,0.234131,0.9219
5,211200,0.218318,0.8594
6,0,0.093304,0.9688
6,6400,0.357274,0.8906
6,12800,0.380905,0.8438
6,19200,0.359296,0.8281
6,25600,0.314624,0.8750
6,32000,0.248077,0.9062
6,38400,0.114404,0.9375
6,44800,0.434533,0.8438
6,51200,0.266829,0.9219
6,57600,0.277559,0.8438
6,64000,0.241430,0.8906
6,70400,0.286074,0.8906
6,76800,0.298955,0.8750
6,83200,0.344744,0.8906
6,89600,0.276222,0.8438
6,96000,0.203744,0.9219
6,102400,0.216363,0.9219
6,108800,0.201654,0.9062
6,115200,0.300215,0.8594
6,121600,0.340272,0.8906
6,128000,0.291836,0.8906
6,134400,0.311488,0.8438
6,140800,0.214703,0.9375
6,147200,0.128432,0.9062
6,153600,0.179048,0.8906
6,160000,0.267367,0.8750
6,166400,0.484761,0.8594
6,172800,0.145369,0.9531
6,179200,0.190234,0.8906
6,185600,0.189309,0.9688
6,192000,0.194229,0.9531
6,198400,0.272659,0.9219
6,204800,0.239279,0.9062
6,211200,0.233441,0.8906
7,0,0.085129,0.9844
7,6400,0.303791,0.8906
7,12800,0.340620,0.8594
7,19200,0.348329,0.8281
7,25600,0.317944,0.8750
7,32000,0.248889,0.9219
7,38400,0.177323,0.9375
7,44800,0.367524,0.8281
7,51200,0.254849,0.9219
7,57600,0.249955,0.9062
7,64000,0.216188,0.9062
7,70400,0.321620,0.8750
7,76800,0.316429,0.8594
7,83200,0.419502,0.8281
7,89600,0.311683,0.8906
7,96000,0.224962,0.9062
7,102400,0.181732,0.9219
7,108800,0.242421,0.8906
7,115200,0.291365,0.8906
7,121600,0.288035,0.9062
7,128000,0.245344,0.8906
7,134400,0.291303,0.8594
7,140800,0.234254,0.9062
7,147200,0.160410,0.8750
7,153600,0.244906,0.8906
7,160000,0.267925,0.9062
7,166400,0.491697,0.8438
7,172800,0.219922,0.9219
7,179200,0.255594,0.9062
7,185600,0.198052,0.9375
7,192000,0.165471,0.9531
7,198400,0.194714,0.9375
7,204800,0.199603,0.9219
7,211200,0.227798,0.9062
8,0,0.082996,0.9844
8,6400,0.334790,0.8750
8,12800,0.360747,0.8750
8,19200,0.381598,0.8281
8,25600,0.342270,0.8438
8,32000,0.240188,0.9219
8,38400,0.116361,0.9531
8,44800,0.321061,0.8594
8,51200,0.250046,0.9375
8,57600,0.239012,0.9062
8,64000,0.227831,0.8906
8,70400,0.321389,0.8750
8,76800,0.312706,0.8750
8,83200,0.461970,0.8125
8,89600,0.295545,0.8906
8,96000,0.151877,0.9375
8,102400,0.198685,0.9219
8,108800,0.200183,0.9062
8,115200,0.281205,0.8750
8,121600,0.320477,0.8750
8,128000,0.273581,0.8906
8,134400,0.303022,0.8594
8,140800,0.220159,0.9219
8,147200,0.158922,0.8906
8,153600,0.164110,0.9062
8,160000,0.245517,0.8906
8,166400,0.463872,0.8125
8,172800,0.165595,0.9375
8,179200,0.169956,0.9219
8,185600,0.226978,0.9062
8,192000,0.146938,0.9688
8,198400,0.180275,0.9375
8,204800,0.206113,0.9062
8,211200,0.177636,0.9375
9,0,0.083845,0.9531
9,6400,0.272252,0.8750
9,12800,0.276157,0.8906
9,19200,0.376225,0.8438
9,25600,0.308120,0.8906
9,32000,0.228392,0.9219
9,38400,0.218067,0.9062
9,44800,0.359880,0.8438
9,51200,0.231151,0.9219
9,57600,0.253338,0.8750
9,64000,0.234690,0.9062
9,70400,0.377149,0.8594
9,76800,0.297331,0.8906
9,83200,0.360176,0.8594
9,89600,0.286718,0.9062
9,96000,0.155199,0.9375
9,102400,0.201053,0.9219
9,108800,0.257068,0.8594
9,115200,0.309583,0.8594
9,121600,0.387731,0.8594
9,128000,0.276533,0.8906
9,134400,0.280180,0.8906
9,140800,0.252905,0.9219
9,147200,0.124532,0.9062
9,153600,0.229304,0.8906
9,160000,0.251089,0.8906
9,166400,0.486154,0.8125
9,172800,0.230177,0.9219
9,179200,0.179114,0.9062
9,185600,0.204604,0.9062
9,192000,0.142896,0.9375
9,198400,0.162164,0.9531
9,204800,0.169358,0.9219
9,211200,0.174480,0.9531
10,0,0.078914,0.9844
10,6400,0.312919,0.8906
10,12800,0.302564,0.8750
10,19200,0.381326,0.8438
10,25600,0.387775,0.8906
10,32000,0.271787,0.8906
10,38400,0.109505,0.9531
10,44800,0.320767,0.8594
10,51200,0.254959,0.9219
10,57600,0.277568,0.8750
10,64000,0.211181,0.8906
10,70400,0.304324,0.8438
10,76800,0.267564,0.8906
10,83200,0.329513,0.8906
10,89600,0.301293,0.8594
10,96000,0.136163,0.9375
10,102400,0.215331,0.9219
10,108800,0.219633,0.8906
10,115200,0.294303,0.8906
10,121600,0.384559,0.8594
10,128000,0.311318,0.8906
10,134400,0.278164,0.8906
10,140800,0.251762,0.9062
10,147200,0.129419,0.9062
10,153600,0.177565,0.9062
10,160000,0.199321,0.9375
10,166400,0.414359,0.8438
10,172800,0.175389,0.9531
10,179200,0.170966,0.9219
10,185600,0.205520,0.9062
10,192000,0.154697,0.9375
10,198400,0.204101,0.9219
10,204800,0.279936,0.9062
10,211200,0.248006,0.8750
11,0,0.105340,0.9688
11,6400,0.212376,0.8906
11,12800,0.280915,0.8750
11,19200,0.425161,0.8281
11,25600,0.346332,0.8750
11,32000,0.246729,0.8906
11,38400,0.089933,0.9688
11,44800,0.377552,0.8125
11,51200,0.262874,0.9219
11,57600,0.192585,0.9375
11,64000,0.217025,0.8906
11,70400,0.286876,0.8906
11,76800,0.241473,0.9062
11,83200,0.329438,0.8906
11,89600,0.308747,0.9062
11,96000,0.165160,0.9062
11,102400,0.182845,0.9375
11,108800,0.228431,0.8906
11,115200,0.292706,0.8906
11,121600,0.270434,0.8594
11,128000,0.299809,0.9062
11,134400,0.286130,0.8594
11,140800,0.201227,0.9219
11,147200,0.134189,0.8906
11,153600,0.164650,0.9062
11,160000,0.254322,0.9062
11,166400,0.495507,0.7969
11,172800,0.195630,0.9375
11,179200,0.154211,0.9062
11,185600,0.218532,0.9375
11,192000,0.150413,0.9688
11,198400,0.211203,0.8906
11,204800,0.201446,0.9531
11,211200,0.168377,0.9219
12,0,0.083780,0.9844
12,6400,0.248713,0.8906
12,12800,0.321445,0.8750
12,19200,0.390920,0.8281
12,25600,0.337781,0.8750
12,32000,0.268632,0.9062
12,38400,0.135806,0.9375
12,44800,0.361278,0.8594
12,51200,0.267413,0.9375
12,57600,0.211363,0.9062
12,64000,0.225518,0.8906
12,70400,0.299381,0.8594
12,76800,0.288198,0.8750
12,83200,0.332782,0.8750
12,89600,0.301673,0.8750
12,96000,0.140000,0.9375
12,102400,0.192953,0.9219
12,108800,0.184497,0.9062
12,115200,0.241111,0.9062
12,121600,0.297108,0.8750
12,128000,0.281038,0.9062
12,134400,0.271862,0.8594
12,140800,0.215965,0.9219
12,147200,0.193080,0.8750
12,153600,0.166024,0.9219
12,160000,0.227352,0.8906
12,166400,0.465631,0.8281
12,172800,0.211660,0.9219
12,179200,0.237090,0.8906
12,185600,0.266219,0.8906
12,192000,0.139283,0.9688
12,198400,0.239106,0.8906
12,204800,0.197320,0.9219
12,211200,0.263163,0.8906
13,0,0.095258,0.9531
13,6400,0.230139,0.8750
13,12800,0.276978,0.8750
13,19200,0.400770,0.8438
13,25600,0.368304,0.8594
13,32000,0.268285,0.8906
13,38400,0.119362,0.9531
13,44800,0.394582,0.8594
13,51200,0.235170,0.9219
13,57600,0.349732,0.8594
13,64000,0.226225,0.9062
13,70400,0.264353,0.8906
13,76800,0.242704,0.8906
13,83200,0.362893,0.8750
13,89600,0.312129,0.8906
13,96000,0.169510,0.9219
13,102400,0.220157,0.9062
13,108800,0.229497,0.8906
13,115200,0.274367,0.8750
13,121600,0.328473,0.8906
13,128000,0.238966,0.8906
13,134400,0.297290,0.8594
13,140800,0.167369,0.9375
13,147200,0.122912,0.9219
13,153600,0.184462,0.9219
13,160000,0.262832,0.9062
13,166400,0.550447,0.8125
13,172800,0.186189,0.9219
13,179200,0.209514,0.8750
13,185600,0.232877,0.8906
13,192000,0.167380,0.9219
13,198400,0.171351,0.9062
13,204800,0.154070,0.9219
13,211200,0.191033,0.9062
14,0,0.090154,0.9688
14,6400,0.287106,0.8906
14,12800,0.277533,0.8750
14,19200,0.336909,0.8594
14,25600,0.330695,0.8750
14,32000,0.229012,0.9062
14,38400,0.116424,0.9531
14,44800,0.372147,0.8594
14,51200,0.253299,0.9219
14,57600,0.209859,0.8906
14,64000,0.266817,0.8906
14,70400,0.282144,0.8750
14,76800,0.248886,0.8906
14,83200,0.378039,0.8594
14,89600,0.284455,0.9219
14,96000,0.183587,0.9375
14,102400,0.163523,0.9375
14,108800,0.255849,0.8594
14,115200,0.282596,0.8281
14,121600,0.404276,0.8750
14,128000,0.235932,0.9062
14,134400,0.330830,0.8438
14,140800,0.227038,0.9062
14,147200,0.140262,0.8906
14,153600,0.232665,0.9219
14,160000,0.214990,0.8906
14,166400,0.428927,0.8281
14,172800,0.195682,0.9375
14,179200,0.160987,0.9219
14,185600,0.193550,0.9219
14,192000,0.158131,0.9062
14,198400,0.238799,0.9062
14,204800,0.208319,0.9219
14,211200,0.180521,0.9062
15,0,0.094787,0.9531
15,6400,0.235235,0.8750
15,12800,0.322178,0.8750
15,19200,0.404549,0.8281
15,25600,0.313331,0.8906
15,32000,0.271627,0.8750
15,38400,0.143737,0.9531
15,44800,0.406805,0.8125
15,51200,0.236985,0.9219
15,57600,0.191971,0.9062
15,64000,0.268846,0.8750
15,70400,0.261645,0.8906
15,76800,0.274688,0.8906
15,83200,0.356034,0.8594
15,89600,0.329669,0.9219
15,96000,0.131983,0.9688
